SenderOriginal,SenderMapped,Day,Date,Time,Year,Subject
Office Dean Academic,Dean Acad,Fri,23-Sep,17:21:12,2011,"[Student-notices] Payment (Undergraduate) of Fees for Spring	semester 2011-12"
Office Dean Academic,Dean Acad,Fri,23-Sep,17:17:38,2011,[Student-notices] Extn of deadline for regn/adjst of half-sem courses from 23/9/11 to 25/9/11
Office Dean ACR,Dean ACR,Fri,23-Sep,16:58:40,2011,"[Student-notices] Interactive Session with Mr Shekhar Kulkarni	B.Tech '76"
Deputy Registrar Academic,DRegistrar,Fri,23-Sep,15:36:46,2011,[Student-notices] CIRCULAR - UG Fees for Spring Sem-2011-12]
Office Dean SA,Dean SA,Fri,23-Sep,13:21:33,2011,"[Student-notices] [Fwd: Techfest Nexus, IIT Bombay Chapter]"
Registrar IIT Bombay,Registrar,Fri,23-Sep,13:13:32,2011,[Student-notices] Revised rate chart of IIT Guest House.
Office Dean SA,Dean SA,Thu,22-Sep,18:35:37,2011,[Student-notices] [Fwd: PG Squash Open Event]
Office Dean SA,Dean SA,Thu,22-Sep,18:35:25,2011,[Student-notices] [Fwd: PG Squash Open Event]
Office Dean Academic,Dean Acad,Thu,22-Sep,18:18:28,2011,[Student-notices] Narotam Sekhsaria Scholarship Talk
Office Dean ACR,Dean ACR,Thu,22-Sep,15:43:34,2011,"[Student-notices] Interactive Session with Mr Shekhar Kulkarni	B.Tech '76"
Librarian IIT Bombay,Librarian,Thu,22-Sep,10:48:08,2011,[Student-notices] Student Assistantship in Central Library
GS Sports,GS Sports,Wed,21-Sep,22:30:32,2011,[Student-notices] Timing of Badminton Trials
Dean Students Affairs,Dean SA,Wed,21-Sep,15:18:12,2011,[Student-notices] Handing over Deanship
GS Sports,GS Sports,Tue,20-Sep,22:51:28,2011,[Student-notices] Badminton Inter-IIT Selection Trials
Executive Electrical,Executive Electrical,Tue,20-Sep,11:38:36,2011,[Student-notices] power shut down notice
Associate Dean Academic,ADean Acad,Mon,19-Sep,18:13:59,2011,[Student-notices] Notice for Students - from IITB-Monash Academy: [Fwd: Prem Panicker workshop]
Librarian IIT Bombay,Librarian,Mon,19-Sep,17:34:23,2011,[Student-notices] Hindi Books Display
Office Dean SA,Dean SA,Mon,19-Sep,16:52:27,2011,"[Student-notices] [Fwd: Prize for Best IIT Bombay student entry at	Eureka! 2011]"
Executive Engr Civil,Executive Civil,Mon,19-Sep,16:03:16,2011,[Student-notices] Main Gate Closing
Dean Academic IITB,Dean Acad,Mon,19-Sep,11:01:44,2011,[Student-notices] Course List of MA 207 Tutorial Batch Wise
Office Dean Academic,Dean Acad,Mon,19-Sep,10:45:53,2011,[Student-notices] fwdd : URGENT - MA 207
Executive Electrical,Executive Electrical,Sat,17-Sep,17:28:15,2011,[Student-notices] power shutdown  notice
General Secretary Hostel Affairs,GSHA,Fri,16-Sep,21:25:56,2011,[Student-notices] Multi-branded Courier Kiosk in hostel area
"Professor-In-Charge, Placement",PIC Placements,Thu,15-Sep,9:12:07,2011,"[Student-notices] Call for Nomination of Web Coordinator in	Placement Office"
Executive Engr Civil,Executive Civil,Wed,14-Sep,15:01:02,2011,[Student-notices] Engineer's Day celebration
Deputy Registrar Academic,DRegistrar,Wed,14-Sep,10:32:21,2011,"[Student-notices] Issue of Railway Concession for Winter Vacation -	2011"
Librarian IIT Bombay,Librarian,Wed,14-Sep,10:09:15,2011,[Student-notices] Hindi Books Display
Associate Dean Academic,ADean Acad,Tue,13-Sep,19:17:37,2011,[Student-notices] Consolidated list - 'Chronological Day' vs. 'Teaching Timetable' Changes for Autumn Semester 2011-2012
Office Dean SA,Dean SA,Tue,13-Sep,17:39:25,2011,"[Student-notices] Rules relating to motorized vehicles,I-cards,"
Dean Students Affairs,Dean SA,Tue,13-Sep,12:23:55,2011,[Student-notices] [Fwd: Inter IIT Aquatics preparatory coaching camp-19 to 28Th Sept.201110]
Shiva Prasad,Dean AP,Mon,12-Sep,12:27:22,2011,[Student-notices] Change of Friday to Monday schedule
Dean Students Affairs,Dean SA,Sun,11-Sep,16:11:51,2011,[Student-notices] [Fwd: Wallet Lost]
Office Dean Academic,Dean Acad,Fri,09-Sep,15:55:06,2011,[Student-notices] [Fwd: Reminder for Registering for English Proficiency Development and GD/PI sessions being conducted by TIME]
Office Dean SA,Dean SA,Fri,09-Sep,12:58:24,2011,[Student-notices] [Fwd: Inter IIT Trials : Lawn Tennis]
Dean Students Affairs,Dean SA,Fri,09-Sep,11:20:27,2011,"[Student-notices] URGENT [Fwd: B -ve Blood required], please help"
Shiva Prasad,Dean AP,Thu,08-Sep,21:54:17,2011,[Student-notices] Absentees in the first week
Dean Students Affairs,Dean SA,Thu,08-Sep,17:28:14,2011,[Student-notices] [Fwd: IIT-Bombay Broadcasting Channel Updates]
dean.ir.office at iitb.ac.in,Dean IR,Thu,08-Sep,13:10:50,2011,[Student-notices] Registrations for Chinese language course
Office Dean Academic,Dean Acad,Thu,08-Sep,10:52:54,2011,[Student-notices] K/A - UG stdts - 'Narotam Sekhsaria Fndn Schlrshp
Dean Students Affairs,Dean SA,Wed,07-Sep,17:04:34,2011,"[Student-notices] [Fwd: Launch of new website of the International	Relations Office]"
Office Dean Academic,Dean Acad,Tue,06-Sep,17:48:12,2011,[Student-notices] T.I.M.E. classes
Jaya Joshi,PRO,Tue,06-Sep,11:11:12,2011,"[Student-notices] [Fwd: IITB UG team wins ASME Design	Competition/Award (fwd)]"
head.ctara at iitb.ac.in,Head CTARA,Mon,05-Sep,20:24:36,2011,[Student-notices] dr. claude alvares tomorrow
Shiva Prasad,Dean AP,Mon,05-Sep,14:43:08,2011,[Student-notices] Revised list of students
Shiva Prasad,Dean AP,Mon,05-Sep,14:41:34,2011,[Student-notices] Revised list of students
Shiva Prasad,Dean AP,Mon,05-Sep,12:39:18,2011,[Student-notices] (no subject)
Executive  Engr Elect,Executive Electrical,Mon,05-Sep,11:23:36,2011,[Student-notices] power shut down notice
Jaya Joshi,PRO,Mon,05-Sep,10:43:47,2011,[Student-notices] REMINDER : Teacher's Day 2011
Dean Students Affairs,Dean SA,Sat,03-Sep,17:24:45,2011,[Student-notices] [Fwd: Urgent: Delivery of Sports Goods by Temporary Sports Outlet on 3rd Sept (Today) and 5th Sept( Monday)]
Prof. Anindya Datta,ADean SA,Fri,02-Sep,21:25:59,2011,[Student-notices] [Fwd: Issue of Tum-Tum Bus Pass/Coupon]
Dean Students Affairs,Dean SA,Fri,02-Sep,18:29:59,2011,[Student-notices] [Fwd: Introducing Fine-Arts Classes]
Dean Students Affairs,Dean SA,Fri,02-Sep,17:40:22,2011,"[Student-notices] [Fwd: Fw: The Third B.R Sawhny Memorial National	Essay Competition]"
Office Dean SA,Dean SA,Fri,02-Sep,16:11:32,2011,[Student-notices] Eureka! 2011- Business Plan Competition Launched!
Jaya Joshi,PRO,Fri,02-Sep,15:58:50,2011,[Student-notices] Raintree - Second Anniversary Issue
Jaya Joshi,PRO,Fri,02-Sep,14:09:18,2011,"[Student-notices] INVITATION: Teacher's Day 2011 on September 5,	2011"
Office Dean Rnd,Dean R&D,Fri,02-Sep,13:26:29,2011,[Student-notices] Gentle Reminder: Talk by Recipient of Dr. P. K. Patwardhan Technology Development Award-2010 on 2nd September 2011]
Office Dean Academic,Dean Acad,Fri,02-Sep,13:21:06,2011,[Student-notices] URGENT: Last day to collect sports eqpmnt from temporary sports outlet.
Dean Students Affairs,Dean SA,Thu,01-Sep,19:03:17,2011,[Student-notices] [Fwd: Update on Vaccinations]
Office Dean Rnd,Dean R&D,Thu,01-Sep,9:34:37,2011,[Student-notices] Talk by Recipient of Dr. P. K. Patwardhan Technology Development Award-2010 on 2nd September 2011
Office Dean SA,Dean SA,Tue,30-Aug,11:18:41,2011,[Student-notices] [Fwd: swimming pool closed on 1st September-2011]]
Office Dean SA,Dean SA,Tue,30-Aug,11:15:41,2011,[Student-notices] [Fwd: swimming pool closed on 1st September-2011]]
Jaya Joshi,PRO,Tue,30-Aug,10:53:59,2011,[Student-notices] Fwd: UID Enrollments at IIT Bombay till August end
Dean Students Affairs,Dean SA,Tue,30-Aug,9:27:48,2011,[Student-notices] [Fwd: swimming pool closed on 1st September-2011]]
Dean Students Affairs,Dean SA,Tue,30-Aug,9:24:48,2011,[Student-notices] [Fwd: Clarification for the remark quoted in an article related to IIT Bombay in The Times of India dated 28th August 2011]
Executive Engr Civil,Executive Civil,Mon,29-Aug,17:39:15,2011,"[Student-notices] Feedback regarding service rendered by the	Nescafe stall"
Office Dean SA,Dean SA,Mon,29-Aug,12:58:04,2011,[Student-notices] [Fwd: extension and changes in slot timing of new indoor Multi pur Hall]
Executive  Engr Elect,Executive Electrical,Sat,27-Aug,13:32:05,2011,[Student-notices] Power  shutdown notice
"Professor-In-Charge, Placement",PIC Placements,Sat,27-Aug,12:49:29,2011,[Student-notices] Regarding PhD placement
Office Dean SA,Dean SA,Fri,26-Aug,11:43:49,2011,[Student-notices] Regarding Inter IIT trials for Table Tennis
Office Dean SA,Dean SA,Fri,26-Aug,11:37:07,2011,[Student-notices] Inter IIT Volleyball Team Trials
Office Dean SA,Dean SA,Thu,25-Aug,18:12:29,2011,"[Student-notices] Warning: Misuse of Fake or Invalid IIT Bombay	I-Cards]"
Office Dean SA,Dean SA,Thu,25-Aug,18:09:45,2011,"[Student-notices] Fwd: Temporary Sports Outlet opened for 2 more	days."
Dean Students Affairs,Dean SA,Thu,25-Aug,17:55:30,2011,[Student-notices] [Fwd: Regarding Inter IIT trials for Table Tennis]
Dean Students Affairs,Dean SA,Thu,25-Aug,17:52:54,2011,[Student-notices] [Fwd: Introducing IIT-Bombay Broadcasting Channel]
Office Dean ACR,Dean ACR,Thu,25-Aug,16:56:35,2011,"[Student-notices] Selection of PG Representative, SARC"
Office Dean SA,Dean SA,Thu,25-Aug,12:50:31,2011,[Student-notices] Depositing of old I-cards against biometric I-cards to the security section
dean.ir.office at iitb.ac.in,Dean IR,Thu,25-Aug,10:38:43,2011,[Student-notices] Attn: B.Tech. & DD students - Nomination for TF LEaRN Programme 2011 @ NUS for semester 2 (Jan-May 2012)
Office Dean SA,Dean SA,Tue,23-Aug,16:55:27,2011,"[Student-notices] Fwd: Invitation innovations for Ideate at	Techfest, IIT Bombay"
Office Dean Rnd,Dean R&D,Tue,23-Aug,15:52:18,2011,[Student-notices] Gentle Reminder: Institute Award Lecture Series (Final Session in this Series) by the recipients of the IRCC Awards-2010 on 24th August 2011
Office Dean Academic,Dean Acad,Tue,23-Aug,15:34:11,2011,"[Student-notices] Kind Attn: PhD Scholars: Open Session with Dean AP and Assoc. Dean AP for PhD Scholars on Tuesday, 23rd August 2011 at 6:05pm in FC Kohli, KRESIT"
Office Dean SA,Dean SA,Tue,23-Aug,11:59:27,2011,[Student-notices] [Fwd: Hockey Camp-cum-Inter-IIT Trials]
Office Dean SA,Dean SA,Tue,23-Aug,11:59:08,2011,[Student-notices] [Fwd: Hockey Camp-cum-Inter-IIT Trials]
Dean Students Affairs,Dean SA,Mon,22-Aug,16:51:16,2011,[Student-notices] [Fwd: Musical Equipments' Stall]
Dean Students Affairs,Dean SA,Sun,21-Aug,8:30:01,2011,[Student-notices] Fwd: inter-IIT Cricket Trials
dean.ap at iitb.ac.in,Dean AP,Sat,20-Aug,19:14:53,2011,"[Student-notices] Fwd: Kind Attn: PhD Scholars: Open Session with	Dean AP and Assoc. Dean AP for PhD Scholars on Tuesday,	23rd August 2011 at 6:05pm in FC Kohli, KRESIT"
Dean Students Affairs,Dean SA,Fri,19-Aug,21:35:19,2011,[Student-notices] [Fwd: Inter IIT Football selection Trials]
Office Dean SA,Dean SA,Fri,19-Aug,16:34:41,2011,[Student-notices] [Fwd: inter-IIT Cricket Trials]
Office Dean Rnd,Dean R&D,Fri,19-Aug,12:05:47,2011,[Student-notices] Institute Award Lecture Series (Final Session in this Series) by the recipients of the IRCC Awards-2010 on 24th August 2011
Jaya Joshi,PRO,Fri,19-Aug,10:58:53,2011,[Student-notices] UID (Aadhaar) Enrollments at IIT Bombay
Office Dean ACR,Dean ACR,Thu,18-Aug,17:21:23,2011,"[Student-notices] Registration opens for Alumni Student Mentorship	Program, SARC"
Executive  Engr Elect,Executive Electrical,Thu,18-Aug,11:33:26,2011,"[Student-notices] Over load on cad sub -station and Requested to	use minimum load."
Office Dean Academic,Dean Acad,Wed,17-Aug,15:50:36,2011,[Student-notices] Printed Tagging application forms
Dean Students Affairs,Dean SA,Wed,17-Aug,13:00:44,2011,"[Student-notices] [Fwd: Human chain at IITB from 1730 Hrs on 17th	Aug]"
Professor Incharge ASC,PIC ASC,Tue,16-Aug,22:49:56,2011,[Student-notices] Biometric attendance policy
Office Dean Rnd,Dean R&D,Tue,16-Aug,18:33:17,2011,[Student-notices] Gentle Reminder: Institute Award Lecture Series (3rd Session) on 17th August 2011 by the recipients of the IRCC Awards -2010
Office Dean SA,Dean SA,Tue,16-Aug,18:03:28,2011,[Student-notices] [Fwd: Swimming GC]
Associate Dean Academic IITBombay,ADean Acad,Tue,16-Aug,16:05:38,2011,[Student-notices] Announcement of talk
Office Dean SA,Dean SA,Tue,16-Aug,14:59:03,2011,[Student-notices] [Fwd: Inter IIT Basketball Selection Trials]
Shiva Prasad,Dean AP,Tue,16-Aug,13:39:16,2011,[Student-notices] Biometric Attendance Policy
dean.ir.office at iitb.ac.in,Dean IR,Tue,16-Aug,12:32:20,2011,"[Student-notices] ATTN: 3rd yr. B.Tech. & DD students - Honda YES	Award 2011"
Office Dean ACR,Dean ACR,Tue,16-Aug,12:28:50,2011,[Student-notices] C'86 Legacy Project Suggestions.
Dean Students Affairs,Dean SA,Tue,16-Aug,9:15:09,2011,[Student-notices] [Fwd: URGENT : lost pendrive]
Professor Incharge ASC,PIC ASC,Tue,16-Aug,0:22:37,2011,[Student-notices] Regarding biometric attendance
Librarian IIT Bombay,Librarian,Sat,13-Aug,18:42:40,2011,[Student-notices] Central Library closed on 15th August
"Professor-In-Charge, Placement",PIC Placements,Sat,13-Aug,10:57:11,2011,"[Student-notices] Nomination for Placement Company Coordinators	(3rd call)"
Dean Students Affairs,Dean SA,Fri,12-Aug,18:11:31,2011,[Student-notices] [Fwd: Opening of sports outlet]
Office Dean ACR,Dean ACR,Fri,12-Aug,17:21:05,2011,"[Student-notices] Invitation for Inauguration of ""DS Foundation	Gymkhana"""
Librarian IIT Bombay,Librarian,Fri,12-Aug,14:59:44,2011,"[Student-notices] [Fwd: ACS Notification of IP block for excessive	session violation]"
Office Dean SA,Dean SA,Fri,12-Aug,13:08:49,2011,"[Student-notices] [Fwd: pool closed on Saturday and Monday(13Th	&15Th Aug.)]"
Executive  Engr Elect,Executive Electrical,Fri,12-Aug,12:44:29,2011,[Student-notices] Power shut down notice
Dean Students Affairs,Dean SA,Fri,12-Aug,12:28:04,2011,"[Student-notices] [Fwd: pool closed on Saturday and Monday(13Th	&15Th Aug.)]"
Office Dean Rnd,Dean R&D,Fri,12-Aug,11:54:03,2011,[Student-notices] Institute Award Lecture Series (3rd Session) on 17th August 2011 by the recipients of the IRCC Awards -2010
"Professor-In-Charge, Placement",PIC Placements,Fri,12-Aug,9:21:44,2011,"[Student-notices] CPI and Minor details in your resumes for	placement purposes"
Abhay Karandikar,Head CC,Thu,11-Aug,15:11:43,2011,[Student-notices] New Head Computer Center
Office Dean SA,Dean SA,Thu,11-Aug,15:02:19,2011,"[Student-notices] [Fwd: Call for Contributors to IITB's Entrepreneurship magazine ""EnSpace""]"
Chief Security Officer,CSO,Thu,11-Aug,14:55:20,2011,[Student-notices] New biometric cards
Dean Students Affairs,Dean SA,Wed,10-Aug,16:46:34,2011,"[Student-notices] [Fwd: Call for nominations: InsIghT Web designer	2011-12]"
Shiva Prasad,Dean AP,Wed,10-Aug,16:08:05,2011,[Student-notices] [Fwd: 1st week absentee list]
Shiva Prasad,Dean AP,Wed,10-Aug,15:50:49,2011,[Student-notices] Placement Related Information
Shiva Prasad,Dean AP,Wed,10-Aug,14:13:15,2011,[Student-notices] [Fwd: Tagging Interface released for B.Tech students admitted in July 2008 and Dual Degree Students admitted in July 2007]
registrar at iitb.ac.in,Registrar,Wed,10-Aug,11:12:42,2011,[Student-notices] Independent Day Programme
Office Dean SA,Dean SA,Wed,10-Aug,10:53:57,2011,[Student-notices] PG Badminton Camp
Professor Incharge ASC,PIC ASC,Wed,10-Aug,7:18:29,2011,"[Student-notices] Biometric I-cards for 1st Yr,	JEE/JAM entrants & Backlog students"
Prof. Anindya Datta,ADean SA,Wed,10-Aug,3:00:20,2011,[Student-notices] cooking in rooms and swapping of rooms
Office Dean SA,Dean SA,Tue,09-Aug,18:39:58,2011,[Student-notices] [Fwd: Session on Power to Empower - Enterprise Plan Competition - 11th August 2011 at 6.00 pm at IRCC auditorium]
registrar at iitb.ac.in,Registrar,Tue,09-Aug,17:10:55,2011,[Student-notices] [Fwd: independence day]
"Professor-In-Charge, Placement",PIC Placements,Tue,09-Aug,13:18:59,2011,[Student-notices] SOP for Resume Preparation
"Professor in-charge, ASC",PIC ASC,Tue,09-Aug,12:43:47,2011,"[Student-notices] Biometric I card distribution. minor change in	schedule"
Librarian IIT Bombay,Librarian,Tue,09-Aug,12:02:21,2011,[Student-notices] Library Orientation for freshers
Office Dean Academic,Dean Acad,Tue,09-Aug,11:17:06,2011,[Student-notices] Fwd: Appointment of Practical Training Cell head
Librarian IIT Bombay,Librarian,Tue,09-Aug,10:59:55,2011,[Student-notices] Issue of books from Book Bank
Professor Incharge ASC,PIC ASC,Tue,09-Aug,0:37:36,2011,"[Student-notices] Biometric I-card distribution schedule for 9th	August"
Jaya Joshi,PRO,Mon,08-Aug,16:34:31,2011,[Student-notices] UID (Aadhaar) Enrollments at IIT Bombay
Office Dean Academic,Dean Acad,Mon,08-Aug,12:56:40,2011,"[Student-notices] Reminder - What is Research || MONDAY: AUG 08, 5PM || FC Kohli Auditorium - KRESIT)]"
Professor Incharge ASC,PIC ASC,Sun,07-Aug,19:54:24,2011,[Student-notices] Biometric attendance and i-card distribution
Jaya Joshi,PRO,Sun,07-Aug,10:36:35,2011,"[Student-notices] Convocation 2011 - live telecast through cable	network"
Professor Incharge ASC,PIC ASC,Sun,07-Aug,1:03:08,2011,"[Student-notices] Distribution schedule for biometric I-Cards on	7th August"
Office Dean Academic,Dean Acad,Sat,06-Aug,13:17:38,2011,"[Student-notices] (Corrected)Talk on ""What is Research"" by Prof.	Khedkar is on Monday"
Office Dean Academic,Dean Acad,Sat,06-Aug,12:36:53,2011,"[Student-notices] Talk on ""What is Research"" by Prof. Uday Khedkar"
Professor Incharge ASC,PIC ASC,Sat,06-Aug,11:57:16,2011,[Student-notices] Biometric ID cards for students
Dean Students Affairs,Dean SA,Fri,05-Aug,12:49:28,2011,[Student-notices] [Fwd: Nuclear Power - A blessing or a curse || SATURDAY 2:30 PM onwards || FC Kohli Auditorium]
Jaya Joshi,PRO,Fri,05-Aug,12:00:57,2011,"[Student-notices] Convocation 2011 - live telecast through cable	network"
Librarian IIT Bombay,Librarian,Thu,04-Aug,17:48:26,2011,[Student-notices] Compact Storage of books and journals
Office Dean ACR,Dean ACR,Thu,04-Aug,16:39:57,2011,[Student-notices] Phonathon training @ 6.30pm on 4th Aug
Executive  Engr Elect,Executive Electrical,Thu,04-Aug,13:23:01,2011,[Student-notices] Emergency power shutdown notice (revised time)
Office Dean Rnd,Dean R&D,Thu,04-Aug,11:08:08,2011,"[Student-notices] Institute Award Lecture Series (2nd Session) on	10th August 2011"
Associate Dean Academic IITBombay,ADean Acad,Wed,03-Aug,17:50:07,2011,"[Student-notices] NOTICE: Course registration exception form	printing"
Chief Security Officer,CSO,Wed,03-Aug,16:10:16,2011,[Student-notices] Circular-49th Convocation -August 2011
Executive  Engr Elect,Executive Electrical,Wed,03-Aug,13:15:52,2011,[Student-notices] [Fwd: Emergency  power shutdown  notice]
Executive  Engr Elect,Executive Electrical,Wed,03-Aug,12:53:01,2011,[Student-notices] Emergency  power shutdown  notice
Dean Students Affairs,Dean SA,Tue,02-Aug,21:08:35,2011,"[Student-notices] [Fwd: Self Defense Classes	Referendum/registration]"
Office Dean ACR,Dean ACR,Tue,02-Aug,16:45:02,2011,[Student-notices] Reminder: Interactive Session with Mr Avi Nash ( Distinguished Alumnus - IIT Bombay)
"Professor-In-Charge, Placement",PIC Placements,Mon,01-Aug,17:17:36,2011,[Student-notices] Interaction Meeting with MSc Students
Office Dean SA,Dean SA,Mon,01-Aug,14:49:13,2011,"[Student-notices] [Fwd: Brewberrys Cafe in Hostel-8 premises -	Opening Today]"
Librarian IIT Bombay,Librarian,Mon,01-Aug,12:51:35,2011,[Student-notices] Issue of books from Book Bank for SC/ST students
Office Dean Academic,Dean Acad,Mon,01-Aug,12:04:12,2011,"[Student-notices] Online info system about applications received in	Dean AP Office"
Jaya Joshi,PRO,Fri,29-Jul,18:25:43,2011,[Student-notices] Aadhaar Enrollments at IIT Bombay
Head Physics,Head Physics,Fri,29-Jul,17:21:37,2011,"[Student-notices] Would you like to have a virtual observatory	in your room"
Office Dean ACR,Dean ACR,Fri,29-Jul,16:52:55,2011,[Student-notices] Interactive Session with Mr Avi Nash ( Distinguished Alumnus - IIT Bombay)
Head Physics,Head Physics,Fri,29-Jul,11:44:01,2011,"[Student-notices] Would you like to have a virtual observatory in	your room"
Prof. Anindya Datta,ADean SA,Thu,28-Jul,20:40:39,2011,[Student-notices] Semester mess advance for the NEXT semesters
Office Dean Rnd,Dean R&D,Thu,28-Jul,17:33:31,2011,[Student-notices] Gentle Reminder: Institute Award Lecture Series by the recipients of the IRCC Awards – 2010
Associate Dean Academic IITBombay,ADean Acad,Thu,28-Jul,16:42:14,2011,[Student-notices] TA orientation for Dual Degree students & remaining new postgraduate students
Prof. Anindya Datta,ADean SA,Wed,27-Jul,15:17:42,2011,[Student-notices] reallotment of hostels for some first year M. Sc. students and backloggers
head.ctara at iitb.ac.in,Head CTARA,Wed,27-Jul,11:05:53,2011,[Student-notices] Final Call: CTARA supervised learning
Office Dean Academic,Dean Acad,Tue,26-Jul,14:19:00,2011,[Student-notices] Teaching Assistants required (corrected)
Office Dean Academic,Dean Acad,Tue,26-Jul,13:02:47,2011,[Student-notices] Reg. HS 699 course in Convocation Hall
Office Dean Rnd,Dean R&D,Tue,26-Jul,12:39:47,2011,[Student-notices] Institute Award Lecture Series by the recipients of the IRCC Awards – 2010
Office Dean Academic,Dean Acad,Tue,26-Jul,12:39:10,2011,[Student-notices] Teaching Assistants reqd.
dean.ir.office at iitb.ac.in,Dean IR,Tue,26-Jul,12:22:58,2011,"[Student-notices] Registrations for Advanced Batch of French class-	students"
RAUNAK KUDESIA,Other,Mon,25-Jul,22:01:33,2011,"[Student-notices] Nominations for the post of Math and Physics club	coordinators"
Dean Students Affairs,Dean SA,Mon,25-Jul,13:30:32,2011,[Student-notices] [Fwd: PG TT Camp]
Executive  Engr Elect,Executive Electrical,Mon,25-Jul,10:39:16,2011,[Student-notices] Power shut down notice
"Professor-In-Charge, Placement",PIC Placements,Mon,25-Jul,8:36:18,2011,[Student-notices] Department Placement Coordinator (DPC) Elections
head.ctara at iitb.ac.in,Head CTARA,Sun,24-Jul,10:39:43,2011,[Student-notices] reminder- CTARA Supervised Learning Courses
VISHWANATHE SADAVIJAY BASAVAPRAKAS,Other,Sat,23-Jul,10:40:45,2011,"[Student-notices] Nominations for post of co-ordinators of Robotics	Club"
Office Dean Academic,Dean Acad,Fri,22-Jul,18:01:29,2011,[Student-notices] Biometric Attendance system
Office Dean Academic,Dean Acad,Fri,22-Jul,17:47:29,2011,"[Student-notices] Call for nominations for the post of Head	Practical Training Cell"
Office Dean Academic,Dean Acad,Fri,22-Jul,17:15:23,2011,[Student-notices] Biometric Attendance system
Shiva Prasad,Dean AP,Fri,22-Jul,13:41:29,2011,"[Student-notices]  Urgent: Address by the Director, IIT B"
Office Dean SA,Dean SA,Fri,22-Jul,13:10:35,2011,[Student-notices] [Fwd: Vaccination Schedule]
Office Dean Academic,Dean Acad,Fri,22-Jul,11:47:38,2011,"[Student-notices] Address by the Director, IIT B"
Office Dean SA,Dean SA,Thu,21-Jul,12:11:13,2011,[Student-notices] [Fwd: Relating rules]
Associate Dean Academic IITBombay,ADean Acad,Wed,20-Jul,23:19:19,2011,[Student-notices] Registration for Autumn Semester 2011-2012
Shiva Prasad,Dean AP,Mon,18-Jul,20:50:30,2011,[Student-notices] Compulsory first week attendance
Prof. Anindya Datta,ADean SA,Mon,18-Jul,16:16:54,2011,[Student-notices] Urgent for students: Allowing online registration against undertaking
head.ctara at iitb.ac.in,Head CTARA,Sun,17-Jul,19:49:56,2011,[Student-notices] CTARA Supervised Learning Courses
Office Dean Academic,Dean Acad,Fri,15-Jul,17:20:18,2011,"[Student-notices] Address by the Director, IIT B"
Jaya Joshi,PRO,Fri,15-Jul,14:42:54,2011,[Student-notices] Aadhaar Enrollments at IIT Bombay
Deputy Registrar Academic,DRegistrar,Fri,15-Jul,12:56:42,2011,"[Student-notices] CHANGE OF DATES/TIME OF REHEARSAL FOR 49TH	CONVOCATION"
Jaya Joshi,PRO,Thu,14-Jul,12:57:13,2011,[Student-notices] Extended Time for Hospital Outpatient Facility
Office Dean Academic,Dean Acad,Wed,13-Jul,13:04:25,2011,[Student-notices] Institute Tutors For Autumn Semester 2011-12
Deputy Registrar Academic,DRegistrar,Tue,12-Jul,19:23:14,2011,"[Student-notices] CIRCULAR FOR REGISTRATION FOR AUTUMN SEMESTER	2011-2012"
Deputy Registrar Academic,DRegistrar,Tue,12-Jul,18:43:06,2011,[Student-notices] RESULT OF  CHANGE OF BRANCH -2010 BATCH
Jaya Joshi,PRO,Tue,12-Jul,16:59:45,2011,[Student-notices] Extended Time for Hospital Outpatient Facility
Executive  Engr Elect,Executive Electrical,Tue,12-Jul,16:02:47,2011,[Student-notices] Emergency power   shutdown  notice
Executive Engr Civil,Executive Civil,Fri,08-Jul,15:10:40,2011,[Student-notices] Emergency Civil Maintenance works during monsoon
"Professor-In-Charge, Placement",PIC Placements,Fri,08-Jul,14:46:17,2011,[Student-notices] Call for nomination of PhD representatives in Institute Placement Team
LT. Vasudeva Madav,Other,Thu,07-Jul,16:47:23,2011,[Student-notices] AB+ Blood required
Prof. Anindya Datta,ADean SA,Thu,07-Jul,10:37:35,2011,[Student-notices] Students' Contribution to Institute subsidy
Executive  Engr Elect,Executive Electrical,Wed,06-Jul,17:46:21,2011,[Student-notices] Power shut down notice
Executive  Engr Elect,Executive Electrical,Tue,05-Jul,18:50:09,2011,[Student-notices] [Fwd: Power shut down notice]
Deputy Registrar Academic,DRegistrar,Tue,05-Jul,17:57:37,2011,"[Student-notices] LIST OF PASSING OUT STUDENTS WITH HONOURS AND	MINOR - 2007 BATCH"
"Professor-In-Charge, Placement",PIC Placements,Tue,05-Jul,10:21:45,2011,[Student-notices] Language proficiency evaluation of students participating in campus placement in 2011-2012
"Professor-In-Charge, Placement",PIC Placements,Tue,05-Jul,9:07:32,2011,[Student-notices] Language proficiency evaluation of students participating in campus placement in 2011-2012
Prof. Anindya Datta,ADean SA,Sun,03-Jul,12:39:52,2011,[Student-notices] illegal occupation of rooms and SMA
Prof. Anindya Datta,ADean SA,Sun,03-Jul,12:16:43,2011,[Student-notices] Attn: H1 residents of 2005 batch and earlier
Prof. Anindya Datta,ADean SA,Thu,30-Jun,22:34:33,2011,"[Student-notices] Internal transfers of H12, 13 and 14"
dean.ir.office at iitb.ac.in,Dean IR,Thu,30-Jun,21:30:39,2011,"[Student-notices] Scholarship for the Masters exchange students at	TUM, Germany"
dean.ir.office at iitb.ac.in,Dean IR,Wed,29-Jun,15:29:30,2011,[Student-notices] Exchange to Dongguk Univ. (Autumn 2011-12) with Global Korea scholarship
